best concert ever,17,90,LOC1,17/07/2021 17:00:00,150,450,1200,PERFORM21,PERFORM22,15,75
amazing concert,19,95,LOC3,22/02/2022 09:20:00,250,300,980,PERFORM21,PERFORM23,25,70
an awesome show,21,78,LOC2,08/08/2021 06:30:00,340,430,780,PERFORM22,PERFORM24,20,58
sing with us,16,67,LOC1,09/07/2021 07:45:00,450,500,550,PERFORM21,PERFORM25,20,47
karaoke night,13,87,LOC3,11/06/2022 09:50:00,500,700,900,PERFORM23,PERFORM26,30,57
best show ever,15,99,LOC1,16/05/2021 11:05:00,90,240,500,PERFORM20,PERFORM29,40,59
it's amazing,16,76,LOC2,14/04/2022 12:10:00,110,200,500,PERFORM29,PERFORM21,20,56
it's great,17,65,LOC1,27/09/2021 11:15:00,160,300,600,PERFORM22,PERFORM23,20,45
showstopping show,0,44,LOC1,14/12/2021 02:20:00,170,340,510,PERFORM24,PERFORM25,10,34
best concert in the state,18,56,LOC2,03/11/2022 01:25:00,180,200,340,PERFORM26,PERFORM25,10,46
