it's amazing,12,60,LOC1,17/07/2021 17:00:00,20,50,90,Horror,Redemption,John Hopkins,PERFORM1;PERFORM2;PERFORM3,Billy;Mike;Nye
it's great,12,75,LOC4,16/08/2021 20:00:00,200,250,400,Comedy,Family nights,Mike Stanley,PERFORM1;PERFORM2;PERFORM8,Monic;Don;Jes
10/10,15,90,LOC3,12/11/2022 18:00:00,100,120,300,Romance,Titanic,Jessica Swan,PERFORM2;PERFORM2;PERFORM3,Kira;Line;Miow
would recommend,15,100,LOC2,27/07/2021 10:00:00,30,70,88,Romantic Comedy,Everything,Edward Lipsinksi,PERFORM1;PERFORM5;PERFORM6,Gordon;Knot;Mitchy
NYT's best movie,12,120,LOC9,07/05/2021 16:30:00,40,50,70,Comedy,3 and 4,Carmen Beirut,PERFORM2;PERFORM4;PERFORM9,Mole;Card;Sisi
Oscar-worthy,18,93,LOC5,15/08/2021 11:00:00,36,78,90,Family,Control,Alice Anderland,PERFORM3;PERFORM6;PERFORM7,Mimi;Risi;Long
Better than anything,18,96,LOC9,17/07/2022 18:00:00,22,50,80,Romance,Bitter,Jasper Jensen,PERFORM9;PERFORM10;PERFORM11,Salt;Red;Heiderbachner
everyone loves it,12,95,LOC8,22/03/2021 19:00:00,23,56,60,Comedy,Mary,Elisabeth Morden,PERFORM11;PERFORM12;PERFORM9,Lola;Gareth;Andres
from your favourite director,17,100,LOC6,18/02/2021 20:00:00,34,66,78,Romantic Comedy,the Notebook,Anne Rimes,PERFORM1;PERFORM10;PERFORM5,Perk;Liam;Nyes
best actors,16,120,LOC7,16/06/2021 21:00:00,34,25,67,Horror,Scary movie,Stanley Bin,PERFORM6;PERFORM1,Mon;Am
