Donny Calico, it's awesome, Rock, true, Michel|Mike|Michaela, Unfortunate|Irreplaceable
Randy Gummer, amazing, Pop, false, Randy Gummer, Take it all|Take|Lose
Juliet, it's awesome, EDM, false, Juliet, Think about clouds
Leonor Alcina, amazing, Hip-Hop, true, Bruno|Bruja|Brono, Some Minutes|Some Nights
Emile Poynter, amazing, Rap, false, Emile Poynter, Beloved Evening|Sunlight
Milissa, it's awesome, Jazz, true, Mitchy|Joe|Nick, Sumertime|How do you like me now
Ermelinda Belford, showstopping, Classical, false, Belford, Streets|Paved with gold
Kathern, showstopping, Rock, true, Billy|Seth|Andrew, No one knows|Finally found you
Julietta Greenawalt, it's awesome, Pop, false, Julietta, All my life is sweet
Shiloh Moskowitz, showstopping, EDM, true, Moko|Miki, Cinammon|Radio
